s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
2022.822495,1304.571638,264.971354,0.000000,-0.956183,0.013743
2025.042578,1305.851832,263.157554,0.000000,-0.918704,0.017327
2027.205641,1307.164489,261.438318,0.000000,-0.873753,0.021314
2029.314625,1308.518358,259.821267,0.000000,-0.820906,0.025657
2031.374365,1309.922192,258.314025,0.000000,-0.759904,0.030235
2033.391945,1311.384740,256.924211,0.000000,-0.690772,0.034826
2035.377031,1312.914753,255.659448,0.000000,-0.613948,0.039094
2037.342127,1314.520983,254.527358,0.000000,-0.530394,0.042617
2039.302689,1316.212179,253.535561,0.000000,-0.441640,0.044954
2041.277038,1317.997093,252.691681,0.000000,-0.349717,0.045756
2043.286025,1319.884475,252.003337,0.000000,-0.256967,0.044884
2045.352477,1321.883075,251.478152,0.000000,-0.165750,0.042466
2047.500486,1324.001646,251.123747,0.000000,-0.078158,0.038858
2049.754659,1326.248937,250.947745,0.000000,0.004202,0.034536
2052.139442,1328.633699,250.957766,0.000000,0.080296,0.029968
2054.678607,1331.164683,251.161432,0.000000,0.149632,0.025526
2057.394916,1333.850640,251.566365,0.000000,0.186909,0.010189
2061.053397,1337.445402,252.246193,0.000000,0.192197,0.001011
2066.282310,1342.578035,253.245000,0.000000,0.194827,0.000397
2072.899602,1349.070135,254.526088,0.000000,0.196398,0.000201
2080.723171,1356.743302,256.052761,0.000000,0.197439,0.000118
2089.570895,1365.419134,257.788322,0.000000,0.198178,0.000076
2099.260647,1374.919227,259.696075,0.000000,0.198727,0.000053
2109.610297,1385.065181,261.739324,0.000000,0.199149,0.000039
2120.437710,1395.678594,263.881371,0.000000,0.199481,0.000030
2131.560754,1406.581063,266.085520,0.000000,0.199746,0.000024
2142.797292,1417.594186,268.315074,0.000000,0.199958,0.000019
2153.965190,1428.539561,270.533337,0.000000,0.200129,0.000016
2164.882311,1439.238787,272.703612,0.000000,0.200263,0.000013
2175.366519,1449.513462,274.789203,0.000000,0.200363,0.000010
2185.235678,1459.185183,276.753412,0.000000,0.200428,0.000007
2194.307652,1468.075548,278.559544,0.000000,0.200453,0.000003
2202.400304,1476.006156,280.170902,0.000000,0.200423,-0.000004
2209.331498,1482.798604,281.550789,0.000000,0.200299,-0.000022
2214.919096,1488.274491,282.662508,0.000000,0.199971,-0.000081
2218.980964,1492.255415,283.469363,0.000000,0.198971,-0.000425
2221.334965,1494.562973,283.934657,0.000000,0.209059,0.004362
2223.647426,1496.825084,284.414583,0.000000,0.243411,0.015427
2225.874119,1498.986138,284.951247,0.000000,0.279794,0.016924
2228.023927,1501.052345,285.544932,0.000000,0.318013,0.018357
2230.105891,1503.029916,286.195921,0.000000,0.357796,0.019663
2232.129168,1504.925061,286.904495,0.000000,0.398792,0.020770
2234.102980,1506.743989,287.670936,0.000000,0.440577,0.021610
2236.036547,1508.492912,288.495528,0.000000,0.482671,0.022126
2237.939015,1510.178039,289.378552,0.000000,0.524555,0.022275
2239.819378,1511.805581,290.320290,0.000000,0.565699,0.022037
2241.686400,1513.381747,291.321026,0.000000,0.605585,0.021419
2243.548548,1514.912749,292.381040,0.000000,0.643733,0.020451
2245.413931,1516.404795,293.500616,0.000000,0.679726,0.019183
