s_m,left_x_m,left_y_m,right_x_m,right_y_m
2624.179558,1748.806758,588.541182,1762.342956,584.967478
2626.938812,1749.364443,590.511291,1763.193951,588.333057
2629.642403,1749.710470,592.478400,1763.689217,591.707280
2632.287728,1749.853170,594.407573,1763.837926,595.060725
2634.870312,1749.804570,596.261873,1763.645552,598.365968
2637.384928,1749.581524,598.003716,1763.112741,601.596234
2639.826851,1749.206720,599.596837,1762.234309,604.723426
2642.193299,1748.709188,601.009329,1760.998726,607.715091
2644.485125,1748.123363,602.218189,1759.389058,610.529874
2646.708811,1747.484837,603.215109,1757.387216,613.111720
2648.878665,1746.820588,604.011282,1754.983723,615.385078
2651.018962,1746.133721,604.635730,1752.192974,617.256564
2653.165406,1745.389535,605.120971,1749.067173,618.629300
2655.365086,1744.516382,605.477836,1745.695470,619.428096
2657.674403,1743.428449,605.675294,1742.181177,619.619623
2660.155315,1742.057383,605.641953,1738.610151,619.210910
2662.871161,1739.807297,605.081946,1735.595779,618.433467
2666.671698,1736.155176,603.930007,1731.998907,617.298830
2673.813608,1729.324082,601.806280,1725.190155,615.182029
2683.959560,1719.623362,598.808167,1715.503773,612.188338
2696.772197,1707.372226,595.036196,1703.264156,608.419909
2711.914155,1692.891560,590.591423,1688.794020,603.978363
2729.048075,1676.502723,585.575050,1672.415607,598.965176
2747.836595,1658.527240,580.088332,1654.450994,593.481771
2767.942362,1639.286693,574.232543,1635.222202,587.629554
2789.028024,1619.102669,568.108958,1615.051247,581.509927
2810.756239,1598.296725,561.818845,1594.260172,575.224300
2832.789671,1577.190357,555.463454,1573.171084,568.874101
2854.790999,1556.104953,549.144008,1552.106197,562.560786
2876.422918,1535.361732,542.961680,1531.387894,556.385860
2897.348149,1515.281622,537.017567,1511.338850,550.450904
2917.229455,1496.185046,531.412631,1492.282243,544.857634
2935.729656,1478.391492,526.247591,1474.542187,539.708009
2952.511678,1462.218530,521.622689,1458.444715,535.104467
2967.238638,1447.979317,517.637116,1444.320271,531.150494
2979.574040,1435.974788,514.387383,1432.511523,527.952256
2989.182317,1426.603331,511.995043,1423.263685,525.590879
2993.732464,1422.173363,510.906887,1418.856074,524.508195
2998.874386,1417.167207,509.685920,1413.871248,523.292413
3004.579555,1411.611958,508.340257,1408.336876,521.951790
3010.819447,1405.534810,506.878038,1402.280525,520.494559
3017.565539,1398.963012,505.307418,1395.729710,518.928936
3024.789312,1391.923844,503.636559,1388.711911,517.263132
3032.462253,1384.444608,501.873630,1381.254593,515.505351
3040.555851,1376.552612,500.026802,1373.385206,513.663793
3049.041603,1368.275175,498.104247,1365.131197,511.746659
3057.891009,1359.639616,496.114141,1356.520008,509.762146
3067.075575,1350.673255,494.064658,1347.579082,507.718452
3076.566816,1341.403412,491.963973,1338.335861,505.623773
3086.336252,1331.857402,489.820262,1328.817794,503.486307
3096.355412,1322.062538,487.641700,1319.052330,501.314251
3106.595836,1312.046125,485.436461,1309.066926,499.115802
3117.029072,1301.835462,483.212720,1298.889047,496.899160
3127.626681,1291.457839,480.978649,1288.546164,494.672522
3138.360237,1280.940535,478.742422,1278.065762,492.444089
3149.201327,1270.310818,476.512210,1267.475335,490.222062
3160.121557,1259.584528,474.293869,1256.813806,488.016955
3170.047572,1249.835222,472.325491,1247.103747,486.056443
3179.993228,1240.062884,470.381521,1237.367037,484.119512
3189.938391,1230.287734,468.463334,1227.624107,482.207608
3199.862905,1220.530010,466.572312,1217.895367,480.322172
3209.746599,1210.809969,464.709845,1208.201207,478.464639
3219.569284,1201.147887,462.877324,1198.562002,476.636437
3229.310761,1191.564054,461.076148,1188.998108,474.838993
3238.950818,1182.078780,459.307718,1179.529865,473.073728
3248.469234,1172.712392,457.573441,1170.177595,471.342057
3257.845780,1163.485235,455.874727,1160.961600,469.645394
3267.060219,1154.417678,454.212992,1151.902161,467.985144
3276.092311,1145.530110,452.589657,1143.019537,466.362711
3284.921811,1136.842951,451.006149,1134.333955,464.779490
3293.528471,1128.376655,449.463901,1125.865613,463.236870
3301.892044,1120.151716,447.964358,1117.634663,461.736230
3309.992282,1112.188682,446.508975,1109.661206,460.278937
3317.808941,1104.508168,445.099222,1101.965276,458.866345
3325.321784,1097.130878,443.736589,1094.566817,457.499786
3332.510582,1090.077637,442.422596,1087.485653,456.180561
3339.355118,1083.345163,441.154209,1080.765715,454.914530
3353.545831,1069.330055,438.527340,1066.885283,452.312226
3368.670223,1054.381334,435.876400,1052.049999,449.680924
3384.611897,1038.613417,433.213661,1036.379742,447.034323
3401.254107,1022.141510,430.551632,1019.993599,444.385882
3418.479864,1005.081331,427.902970,1003.010145,441.748914
