tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,1335.083703,258.923585,0.000000,0.010000,0.010000,0.000000
blue,1342.905249,260.444554,0.000000,0.010000,0.010000,0.000000
blue,1350.742133,261.995959,0.000000,0.010000,0.010000,0.000000
blue,1358.581478,263.559169,0.000000,0.010000,0.010000,0.000000
blue,1366.421564,265.129371,0.000000,0.010000,0.010000,0.000000
blue,1374.261868,266.704228,0.000000,0.010000,0.010000,0.000000
blue,1382.102179,268.283153,0.000000,0.010000,0.010000,0.000000
blue,1389.942402,269.864810,0.000000,0.010000,0.010000,0.000000
blue,1397.782536,271.448346,0.000000,0.010000,0.010000,0.000000
blue,1405.622578,273.033483,0.000000,0.010000,0.010000,0.000000
blue,1413.462475,274.620633,0.000000,0.010000,0.010000,0.000000
blue,1421.302284,276.208894,0.000000,0.010000,0.010000,0.000000
blue,1429.142018,277.798100,0.000000,0.010000,0.010000,0.000000
blue,1436.981673,279.388328,0.000000,0.010000,0.010000,0.000000
blue,1444.821270,280.979517,0.000000,0.010000,0.010000,0.000000
blue,1452.660861,282.571300,0.000000,0.010000,0.010000,0.000000
blue,1460.500490,284.163618,0.000000,0.010000,0.010000,0.000000
blue,1468.340257,285.756358,0.000000,0.010000,0.010000,0.000000
blue,1476.180442,287.349293,0.000000,0.010000,0.010000,0.000000
blue,1484.022094,288.941987,0.000000,0.010000,0.010000,0.000000
blue,1491.840769,290.526572,0.000000,0.010000,0.010000,0.000000
blue,1498.843417,292.188265,0.000000,0.010000,0.010000,0.000000
blue,1505.215763,294.682834,0.000000,0.010000,0.010000,0.000000
blue,1511.023936,298.214212,0.000000,0.010000,0.010000,0.000000
blue,1516.412817,302.805215,0.000000,0.010000,0.010000,0.000000
blue,1521.523498,308.223350,0.000000,0.010000,0.010000,0.000000
blue,1526.557284,314.239399,0.000000,0.010000,0.010000,0.000000
blue,1531.623200,320.413673,0.000000,0.010000,0.010000,0.000000
blue,1536.682745,326.603769,0.000000,0.010000,0.010000,0.000000
blue,1541.738656,332.799457,0.000000,0.010000,0.010000,0.000000
blue,1546.792972,338.997599,0.000000,0.010000,0.010000,0.000000
blue,1551.844825,345.198876,0.000000,0.010000,0.010000,0.000000
blue,1556.895916,351.401124,0.000000,0.010000,0.010000,0.000000
blue,1561.946035,357.604509,0.000000,0.010000,0.010000,0.000000
blue,1566.995127,363.809098,0.000000,0.010000,0.010000,0.000000
blue,1572.044220,370.013686,0.000000,0.010000,0.010000,0.000000
blue,1577.092220,376.219537,0.000000,0.010000,0.010000,0.000000
blue,1582.140126,382.425498,0.000000,0.010000,0.010000,0.000000
blue,1587.187958,388.631552,0.000000,0.010000,0.010000,0.000000
blue,1592.235268,394.838267,0.000000,0.010000,0.010000,0.000000
blue,1597.282577,401.044983,0.000000,0.010000,0.010000,0.000000
blue,1602.329868,407.251745,0.000000,0.010000,0.010000,0.000000
blue,1607.377058,413.458768,0.000000,0.010000,0.010000,0.000000
blue,1612.424248,419.665791,0.000000,0.010000,0.010000,0.000000
blue,1617.471459,425.872810,0.000000,0.010000,0.010000,0.000000
blue,1622.518960,432.079775,0.000000,0.010000,0.010000,0.000000
blue,1627.566462,438.286740,0.000000,0.010000,0.010000,0.000000
blue,1632.613963,444.493705,0.000000,0.010000,0.010000,0.000000
blue,1637.662152,450.700306,0.000000,0.010000,0.010000,0.000000
blue,1642.710399,456.906878,0.000000,0.010000,0.010000,0.000000
blue,1647.758646,463.113449,0.000000,0.010000,0.010000,0.000000
blue,1652.807853,469.319449,0.000000,0.010000,0.010000,0.000000
blue,1657.857333,475.525286,0.000000,0.010000,0.010000,0.000000
blue,1662.906814,481.731122,0.000000,0.010000,0.010000,0.000000
blue,1667.957565,487.936189,0.000000,0.010000,0.010000,0.000000
blue,1673.008886,494.140910,0.000000,0.010000,0.010000,0.000000
blue,1678.060207,500.345631,0.000000,0.010000,0.010000,0.000000
blue,1683.113441,506.549227,0.000000,0.010000,0.010000,0.000000
blue,1688.167431,512.752378,0.000000,0.010000,0.010000,0.000000
blue,1693.221421,518.955528,0.000000,0.010000,0.010000,0.000000
blue,1698.278992,525.156727,0.000000,0.010000,0.010000,0.000000
blue,1703.336897,531.357743,0.000000,0.010000,0.010000,0.000000
blue,1708.396860,537.557798,0.000000,0.010000,0.010000,0.000000
blue,1713.460777,543.756005,0.000000,0.010000,0.010000,0.000000
blue,1718.525273,549.954021,0.000000,0.010000,0.010000,0.000000
blue,1723.599341,556.148888,0.000000,0.010000,0.010000,0.000000
blue,1728.675819,562.343574,0.000000,0.010000,0.010000,0.000000
